TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
DNMT1,1.7432,5,0.6025044109268405,0.512993925731104,0.5192575519647276,0.10847107246817181
XBP1,1.743,5,0.6065058793426558,0.35330953722838,0.7123770438704519,0.07085274372561504
ETV7,1.7419,6,0.6919846925075164,0.3097877136952846,0.6756124576652525,0.06454449891696475
HOXB5,1.7387,6,0.5604593323327464,0.3457949777694283,0.7373660312588681,0.09503265510610653
ZNF410,1.7376,6,0.6078532014027476,0.411985722337028,0.48050170120228397,0.2372332138886003
MAFB,1.735,6,0.490726818332745,0.4029682509862859,0.7878904928490613,0.053413003626652175
HR,1.7305,6,0.6004613317607714,0.3908823345231386,0.6472750245337275,0.09189539096048359
ZNF217,1.728,6,0.454284838027841,0.45838812699605486,0.6533875088998872,0.16194892921313606
HNF4A,1.7238,6,0.6396646766369783,0.43991483499279854,0.5947036912199742,0.04953163220660568
SOX6,1.7194,4,0.6964035301081957,0.3697789467092492,0.5691598698704129,0.08406462307575774
STAT4,1.7191,5,0.5715248997349698,0.3808629219112029,0.694386105514867,0.07230800591710704
HSF1,1.7174,5,0.7032274500081087,0.36533283236270275,0.5936884370044876,0.05519480597376548
DLX4,1.7159,6,0.5714420879899794,0.43477988602918155,0.6315021869900908,0.078219202200083
SMARCA1,1.715,5,0.5180877431653057,0.39733233139207214,0.4594954693806652,0.34004758964446435
CREB3,1.7107,5,0.6434893344913848,0.3716575865739871,0.5522947683099425,0.14327886572911835
GATA1,1.7102,5,0.6660274817073477,0.4111090237334836,0.5461218839076728,0.08696306344768698
MAFA,1.7093,6,0.6233326592535767,0.4974638361826038,0.5260673621819967,0.06247932950961457
KAT5,1.7073,5,0.5166879337779384,0.5449308034316488,0.5114414090411137,0.1342773142894782
ZBTB4,1.7068,6,0.5535670577287366,0.47435656584632724,0.5875818768798744,0.09124599668935643
NR2E3,1.7063,5,0.7354935451505236,0.38324253240653766,0.536030312146205,0.05152627143301461
MEF2B,1.7032,7,0.7131732487348506,0.38537165758657393,0.5865993697147989,0.018031170376626056
CDX1,1.7015,5,0.6803877597016043,0.3504289561024485,0.604794119597485,0.06585866958816243
YBX3,1.7012,5,0.6751951935657912,0.3710939946145657,0.45444651806146596,0.20046254584415021
